id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
288034,pb5 APRIL BARCELONA QUIET & WITH TERRACE NICE FLAT,1447144,Apartments In Barcelona,Eixample,la Nova Esquerra de l'Eixample,41.38791,2.15064,Entire home/apt,145,3,19,2019-10-31,0.18,132,354
289405,MAGIC ROOM IN GÒTIC *1! CENTRE!,1503151,Laia,Ciutat Vella,el Barri Gòtic,41.38178,2.17463,Private room,33,32,5,2017-08-14,0.05,81,0
289600,MAGIC ROOM GOTIC * 2! CITY CENTRE!,1503151,Laia,Ciutat Vella,el Barri Gòtic,41.38296,2.17411,Private room,33,32,1,2014-06-30,0.01,81,0
289616,MAGIC ROOM CITY CENTER! * GÒTIC 5!,1503151,Laia,Ciutat Vella,el Barri Gòtic,41.38373,2.17412,Private room,29,32,2,2018-02-22,0.02,81,0
289761,MAGIC ROOM GOTIC * 6! CITY CENTRE!,1503151,Laia,Ciutat Vella,el Barri Gòtic,41.38292,2.17422,Private room,27,32,0,,,81,0
290592,Views SagradaFamilia + metro + WIFI + disinfected,1377744,Esther & Gemma,Sant Martí,el Camp de l'Arpa del Clot,41.41234,2.17754,Entire home/apt,121,3,234,2020-03-15,2.22,2,353
295200,Attic penthouse with private terrace,612665,Oscar,Gràcia,la Vila de Gràcia,41.40697,2.16106,Entire home/apt,89,3,153,2020-09-28,1.41,7,235
296287,Nice room in Barcelona Gòtic (3),1503151,Laia,Ciutat Vella,el Barri Gòtic,41.38295,2.17484,Private room,24,32,10,2020-02-29,0.54,81,0
"297066,""3 rooms, 2 bathrooms in the touristic city centre"",1541784,Aga,Sants-Montjuïc,el Poble Sec,41.37383,2.16894,Entire home/apt,52,1,648,2020-10-25,6.05,1,358"
302440,Ramblas Romantic studio,942210,Pia,Ciutat Vella,el Raval,41.38486,2.16841,Entire home/apt,45,31,22,2019-10-01,0.21,4,364
305213,PLATANEROS - BRIGHT CENTRAL APT,1570247,Irene,Eixample,Sant Antoni,41.37669,2.16532,Entire home/apt,70,20,254,2020-03-02,2.46,1,180
"308166,""ARTIST HOUSE IN DOWNTOWN, GAUDI, LIGHT SUN"",1561612,Carlos,Eixample,la Dreta de l'Eixample,41.39253,2.15888,Entire home/apt,155,3,176,2019-11-16,1.65,1,1"
315769,Sagrada Familia vintage apartment,1994100,Marcello,Eixample,la Sagrada Família,41.40577,2.17324,Entire home/apt,90,30,22,2020-02-17,0.21,3,107
320506,The Loft Barcelona,1642180,The Loft,Sants-Montjuïc,el Poble Sec,41.37186,2.16803,Entire home/apt,75,4,52,2020-08-22,0.49,1,294
322268,AMAZING LOCATION & SPACIOUS APART,1650460,Maria,Ciutat Vella,el Barri Gòtic,41.37949,2.17725,Entire home/apt,60,32,89,2019-10-13,0.83,1,90
323854,Casa Sagrada Familia Bcn Doubleroom,1657312,Alberto,Eixample,la Sagrada Família,41.40658,2.17549,Private room,30,1,21,2014-07-29,0.20,1,0
326464,Charm and quiet room,1669001,Isidro,Nou Barris,Can Peguera,41.43542,2.16466,Private room,60,1,33,2019-12-28,0.44,1,365
330723,SUNNY ROOM WITH BALCONY,1687383,Juanmi,Ciutat Vella,el Raval,41.37729,2.17225,Private room,30,14,58,2019-10-25,0.56,2,1
330766,Urquinaona Charming and Centric,1687524,Virginia,Eixample,la Dreta de l'Eixample,41.39074,2.17306,Entire home/apt,120,3,170,2019-07-06,1.62,1,363
330957,Central 3 bedroom beautiful APT,893805,Phil And Fiona,Eixample,la Dreta de l'Eixample,41.39831,2.17174,Entire home/apt,120,2,420,2020-10-02,4.06,8,1
331026,Small basic room in a nice apt,440881,Lee,Eixample,Sant Antoni,41.3785,2.16132,Private room,20,4,181,2020-09-20,1.71,1,364
337755,SEALONA VILA OLIMPICA BEACH,1716315,Marc,Sant Martí,la Vila Olímpica del Poblenou,41.39181,2.19263,Entire home/apt,72,1,8,2020-11-07,0.10,12,0
"342641,Apartment in villa with garden&pool,1738696,Estela,Sarrià-Sant Gervasi,""Vallvidrera, el Tibidabo i les Planes"",41.42882,2.10123,Entire home/apt,93,2,79,2020-06-03,0.90,1,334"
343622,Spacious loft nearby pl. España,1743695,Michel,Sants-Montjuïc,Hostafrancs,41.3765,2.14385,Entire home/apt,115,3,102,2019-10-12,1.45,1,365
343861,1BD FLAT WITH WIFI & AC IN GRACIA,1744516,Silvia & Luís,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4019,2.16477,Entire home/apt,45,3,23,2020-06-03,0.34,19,191
343864,3 BD APT IN THE HEART OF GRACIA VIRREINA,1744516,Silvia & Luís,Gràcia,la Vila de Gràcia,41.40656,2.15732,Entire home/apt,54,3,16,2020-03-02,0.20,19,90
343866,COSY 2BD + 2 BATH + 2 KITCHEN IN GRACIA VIRREINA,1744516,Silvia & Luís,Gràcia,la Vila de Gràcia,41.40545,2.15719,Entire home/apt,81,3,34,2020-03-09,0.36,19,89
343972,Magic Fountain B&B WI-FI DOBLE ROOM,1744964,Patricia,Sants-Montjuïc,la Font de la Guatlla,41.37142,2.14938,Private room,30,2,7,2015-07-06,0.07,1,0
345129,Charming apartment by  Barcelona sailing harbour,1238225,Lucia,Ciutat Vella,el Barri Gòtic,41.38471,2.17222,Private room,27,31,32,2013-10-15,0.30,1,58
351395,Garden House - 3BR Apt with amazing Terrrace,1435464,Jaume,Eixample,el Fort Pienc,41.39362,2.18183,Entire home/apt,90,3,35,2019-10-12,0.38,21,170
352772,Elegant Centric Attic WIFI Car Park,1786501,Fidel,Eixample,la Nova Esquerra de l'Eixample,41.38184,2.15119,Entire home/apt,124,2,103,2020-10-18,1.24,1,249
353640,Great Apartment in Heart of Born,1791076,Marta,Ciutat Vella,el Barri Gòtic,41.38109,2.17855,Entire home/apt,81,2,130,2020-03-08,1.60,1,319
"357576,""Authentic Vintage Home ¨El patio de Gràcia"""""",1809535,Silvia,Gràcia,la Vila de Gràcia,41.40508,2.15491,Entire home/apt,82,1,211,2020-09-26,2.05,2,304"
